group,date,mlo,mmd,mhi,rlo,rmd,rhi,sgtfv
East of England,2020-11-02,0.0701030821246624,0.0789366446444433,0.0872257534172171,0.0365582355317766,0.0864893410593069,0.16171195263569,0.458597053032439
East of England,2020-11-03,0.0732801914996699,0.0823948492542115,0.0910947390566032,0.0382798808902633,0.0891905657981329,0.167833764171973,0.483220209781663
East of England,2020-11-04,0.0766493067476632,0.0862411930766341,0.0953157782273128,0.0408984263505132,0.0931155913159024,0.173614355969291,0.50793600062051
East of England,2020-11-05,0.0803881716642711,0.0904079831823376,0.0997447405766365,0.0450207063616991,0.0974947329946053,0.17516678039023,0.532624510627227
East of England,2020-11-06,0.0844824698799662,0.0948884446533661,0.104762141548194,0.04758861619807,0.102494319271658,0.185714580229395,0.557166132495998
East of England,2020-11-07,0.0889730249500941,0.0998935841320148,0.11017751630852,0.0507723295132054,0.107366708262016,0.192009254688434,0.581443859464523
East of England,2020-11-08,0.0939906134133154,0.105282947549257,0.116205098090227,0.0543453942452967,0.111976550824964,0.193942148718007,0.605345482335402
East of England,2020-11-09,0.0994122231530815,0.111142541520283,0.122605158309233,0.0577653099311218,0.11811046329107,0.203530179760905,0.628765604294875
East of England,2020-11-10,0.105413549763057,0.117619607176174,0.129482067303329,0.0613455398301911,0.1249487462418,0.212903967857321,0.65160739889678
East of England,2020-11-11,0.111767357374999,0.124685202023922,0.137220129805851,0.0672281799073355,0.131218175755717,0.217518593457356,0.673784052853872
East of England,2020-11-12,0.118584237546481,0.132268363634448,0.14541306941253,0.0729535506050836,0.138300077265068,0.229927006536125,0.69521985461977
East of England,2020-11-13,0.126325181910009,0.140474939472524,0.154144082636676,0.0780997851786676,0.146304897590987,0.237654737906661,0.715850910389675
East of England,2020-11-14,0.13452452374916,0.149538491656091,0.163655827413232,0.0866999733366781,0.154851680950139,0.247808908627453,0.735625489335023
East of England,2020-11-15,0.143623170758207,0.159201814498682,0.173847012702393,0.0936144831960876,0.164558365281689,0.26044259137966,0.754504018059962
East of England,2020-11-16,0.153562291324184,0.169636127850056,0.184842711415233,0.0998221355719098,0.175705320586157,0.270814729940211,0.772458759230218
East of England,2020-11-17,0.164132567018856,0.180915915061754,0.196683100603209,0.107119055443001,0.185454773294407,0.285049852930324,0.789473220331239
East of England,2020-11-18,0.175573441796329,0.192861326470123,0.209263280056002,0.119029522671557,0.198287693423069,0.295316732556045,0.805541345284501
East of England,2020-11-19,0.187956686581222,0.205753296094786,0.222843050072813,0.127941280745464,0.211988999981492,0.310866058324046,0.820666544333757
East of England,2020-11-20,0.201458558330835,0.219529914428599,0.237253642583801,0.139307953665588,0.224985525562712,0.330064046219628,0.834860616687177
East of England,2020-11-21,0.215765959907987,0.234249819532114,0.252438521966642,0.152787250955634,0.23919153519784,0.343563495656082,0.848142616568535
East of England,2020-11-22,0.231056149032229,0.249864439066849,0.268347723841155,0.16572914986303,0.254486997028375,0.360512981145048,0.860537707399051
East of England,2020-11-23,0.247275909052554,0.266403846994122,0.28522764221709,0.178958086707744,0.270128043491512,0.377618080818304,0.872076041612927
East of England,2020-11-24,0.26428925762962,0.283948232924362,0.302814563943662,0.191984916572206,0.286804841242958,0.394840883302082,0.88279169584119
East of England,2020-11-25,0.282344238638115,0.302263470207975,0.321546447261264,0.208788677490758,0.305975144595431,0.415847770231733,0.892721683491323
East of England,2020-11-26,0.301410228308657,0.321415958640841,0.340970946493653,0.22425556879532,0.323940015470525,0.436964676137606,0.90190505956607
East of England,2020-11-27,0.321013754222801,0.341341641619809,0.361285304407459,0.242664370830917,0.344833316238119,0.455869252758654,0.910382126213293
East of England,2020-11-28,0.341483107729377,0.362123586943214,0.382125301299531,0.262307668761192,0.365685228134892,0.478389144348005,0.918193742151979
East of England,2020-11-29,0.3628619562418,0.383683886989674,0.40355131798057,0.280430091830215,0.385971400052163,0.496244498052213,0.925380734835063
East of England,2020-11-30,0.384963606812659,0.405798924676725,0.425410931974594,0.298878812969521,0.408131383818202,0.5175226911548,0.931983410958829
East of England,2020-12-01,0.407589640558888,0.428451332352321,0.448141635682953,0.31707510351631,0.429952162971992,0.543732893551239,0.93804115862265
East of England,2020-12-02,0.430645211643983,0.451611387906844,0.471250334919217,0.342314798995248,0.451669100783195,0.562335218901491,0.943592132958159
East of England,2020-12-03,0.45404412737165,0.47504745038291,0.494851524749701,0.365960098906533,0.475965832256961,0.588997294413983,0.948673016243963
East of England,2020-12-04,0.477800025589154,0.498822781273051,0.518651856611846,0.385973235731683,0.49790927900628,0.611509649040288,0.953318843260415
East of England,2020-12-05,0.501971426149164,0.522584055137431,0.542279992865088,0.407321994207272,0.522247865648207,0.632757072853377,0.957562882787231
East of England,2020-12-06,0.525795108085094,0.54630144152275,0.566092881027537,0.43225319990331,0.544790652103298,0.655053296304752,0.961436566588627
East of England,2020-12-07,0.549618089806164,0.570044705671443,0.589775803070541,0.455922778208061,0.568377199023478,0.677663375348124,0.964969457867642
East of England,2020-12-08,0.57324341370686,0.59337861243195,0.613164870715921,0.477995440651259,0.59291638060287,0.70200752692432,0.96818925192362
East of England,2020-12-09,0.596412792852986,0.616553791999301,0.636258806444485,0.500426227545961,0.613635636701633,0.720057086838738,0.971121802552052
East of England,2020-12-10,0.619259107606905,0.639158607474521,0.658900533916393,0.524353322525253,0.636924966614388,0.738564663525576,0.973791168537578
East of England,2020-12-11,0.641685645382353,0.661246027101754,0.6813062953318,0.547273699181524,0.658647921320861,0.759405693852749,0.976219675375703
East of England,2020-12-12,0.663400780049833,0.682691724054291,0.702680823394686,0.566917050813812,0.679268518546507,0.77898170619773,0.97842798809455
East of England,2020-12-13,0.684226024441338,0.70341525974148,0.723508402250984,0.592050548681749,0.699759875009685,0.798225906627826,0.980435191721221
East of England,2020-12-14,0.704470280405184,0.723309856350907,0.743391775642312,0.612270443585696,0.719733215412235,0.813939770322072,0.982258876541355
East of England,2020-12-15,0.723955992228258,0.742467788728398,0.762273493159511,0.630063263128279,0.73820727743793,0.828417927413585,0.983915225833282
East of England,2020-12-16,0.742370148986746,0.760773652954329,0.780087707835798,0.651725351057595,0.756852714691695,0.843398486644356,0.985419104221334
East of England,2020-12-17,0.760067423983319,0.778169556617222,0.797345644506668,0.672799047686007,0.772688707246769,0.858123677691018,0.986784145190261
East of England,2020-12-18,0.77688977498392,0.794714606479445,0.813443398226361,0.68837833807382,0.788913060630063,0.872594157536384,0.988022836639436
East of England,2020-12-19,0.792809795398319,0.810286526209655,0.828443421955374,0.706777992095392,0.805377169172792,0.883539768142804,0.989146603637768
East of England,2020-12-20,0.807761471248938,0.824895328082382,0.842702785708022,0.723915685991116,0.819191325473464,0.895160381742181,0.990165887773914
East of England,2020-12-21,0.8219336145826,0.838639554481473,0.855890856543629,0.738943079331362,0.832530186186858,0.90618566566919,0.991090222687863
East of England,2020-12-22,0.835307592379476,0.851532532590124,0.86828717733137,0.753319749547589,0.845466865788428,0.916208329612064,0.99192830552487
East of England,2020-12-23,0.847952717143582,0.863608059794084,0.879677218538087,0.766800719686103,0.857300118158385,0.924559044915945,0.992688064176504
East of England,2020-12-24,0.859662168036946,0.87482976327788,0.890275676209394,0.780777963864612,0.868666513908639,0.933381432320545,0.993376720271
East of England,2020-12-25,0.870553588357917,0.885251324848714,0.900073004652106,0.791068343859386,0.877790951296341,0.939165993113592,0.994000847950565
East of England,2020-12-26,0.880767385630115,0.894956241697012,0.909075654888576,0.805830311989444,0.888166585469497,0.946098787866157,0.994566428530453
East of England,2020-12-27,0.890353726728022,0.903860303109131,0.917392841951013,0.813174758403808,0.896895223821037,0.952353215161136,0.995078901176806
East of England,2020-12-28,0.899161334106946,0.912134596677488,0.925116477748649,0.826230724413396,0.905086211036083,0.958321792441461,0.995543209770257
East of England,2020-12-29,0.907336298235475,0.919761113324942,0.932047962123263,0.837040951105867,0.912092059639602,0.962936173826115,0.995963846142422
East of England,2020-12-30,0.914951912696517,0.926786146969662,0.938473655451282,0.846656204407437,0.920408873310442,0.967472529024416,0.996344889884726
East of England,2020-12-31,0.921976337735231,0.933271360782889,0.94434257181603,0.851350739042337,0.926124301096793,0.970709734225303,0.996690044935142
East of England,2021-01-01,0.928459894728394,0.939175506643873,0.949588832367303,0.859044311518693,0.931758242279721,0.974891832559168,0.997002673149754
East of England,2021-01-02,0.934420159846603,0.944601880791548,0.954436276131146,0.867876498936887,0.937060165334843,0.977376452389626,0.997285825063727
East of England,2021-01-03,0.939938245491159,0.949543383672919,0.958796801564919,0.871156359398155,0.942490268249778,0.980077993985369,0.997542268041198
East of England,2021-01-04,0.945000423205367,0.954052607288099,0.96278586100828,0.881297744203386,0.946739982585125,0.983135768929549,0.997774512006531
East of England,2021-01-05,0.949716265847347,0.958192412636811,0.966381415179105,0.8858497619092,0.950821366183649,0.985380892373195,0.997984832940958
East of England,2021-01-06,0.954004641863857,0.962015764957401,0.969716275476732,0.891746979266473,0.954340770704323,0.986857384087448,0.998175294319241
East of England,2021-01-07,0.957981246185883,0.965489764544809,0.972647754599805,0.896859469804266,0.957391245852697,0.988165020491744,0.998347766651109
East of England,2021-01-08,0.961560494961552,0.968639461735024,0.975317657398415,0.901288788364556,0.96084639865321,0.99006719636405,0.998503945282111
East of England,2021-01-09,0.964877733100709,0.97151312472521,0.977761982656912,0.906440874302732,0.962938171796796,0.991106705729179,0.99864536659836
East of England,2021-01-10,0.967948817063932,0.974143276845103,0.979963810476327,0.909769091926016,0.9660926119679,0.992424966525996,0.998773422769682
East of England,2021-01-11,0.970732902004101,0.97653388209236,0.981942656299247,0.913601457830252,0.96843518177441,0.993092941059713,0.998889375155965
East of England,2021-01-12,0.973279419312454,0.978711643852597,0.983717479580345,0.917758821128008,0.970304825570623,0.993972679786111,0.998994366492196
East of England,2021-01-13,0.975606842606271,0.980682906850103,0.985350306216579,0.920060658830394,0.972384011281054,0.995139026576241,0.999089431958764
East of England,2021-01-14,0.977745346973947,0.982486389725564,0.986800134517881,0.921485740098136,0.973920922635917,0.995373810510696,0.999175509235195
East of England,2021-01-15,0.97969293816085,0.984118788462303,0.988113717236392,0.924408690409621,0.975596695499317,0.995860485928842,0.999253447627562
East of England,2021-01-16,0.981484089484928,0.98559695711685,0.989296608198379,0.926128273641848,0.97687571755028,0.996262846783946,0.999324016352371
East of England,2021-01-17,0.983119736360379,0.986949883574379,0.99037610273756,0.929273180195871,0.978489950704011,0.996789754120716,0.999387912052824
East of England,2021-01-18,0.98461051531805,0.988176543885193,0.991345065910057,0.930144182612558,0.979691954527868,0.99715730226489,0.999445765616897
East of England,2021-01-19,0.985973573953511,0.989282872604349,0.992215250049658,0.932110426516381,0.980671262512141,0.997585472917446,0.999498148360713
East of England,2021-01-20,0.987211268814704,0.990286849449435,0.99300068076468,0.934037535959647,0.981574320790891,0.997717408947503,0.999545577635182
East of England,2021-01-21,0.988334097568962,0.991189615951285,0.993709211671752,0.935923132959671,0.982805088131722,0.998043810666574,0.999588521908796
East of England,2021-01-22,0.98936737102329,0.992021256441002,0.994338460137119,0.935475010279386,0.983183628960475,0.998258831054853,0.999627405374765
East of England,2021-01-23,0.990312232558712,0.992771635833677,0.994909166873263,0.939956743172502,0.983959084202114,0.998393959123522,0.999662612126434
East of England,2021-01-24,0.99117391418117,0.993448649338796,0.995419942922262,0.940180426870828,0.98462436023081,0.998594962600731,0.999694489940917
East of England,2021-01-25,0.991959605011589,0.99406378473975,0.995874088293234,0.940742254126442,0.985412656553022,0.998841192587827,0.999723353707338
East of England,2021-01-26,0.992675895592168,0.994624695319618,0.99628236260734,0.943324295591733,0.985965546153508,0.998774801493856,0.999749488532725
East of England,2021-01-27,0.993328823814513,0.995130184758523,0.996653625666349,0.943447919780293,0.986435414493673,0.998891732275339,0.999773152555615
East of England,2021-01-28,0.993923918010487,0.995588162863988,0.996992737342471,0.944583985317461,0.987039037372972,0.999069528574653,0.999794579494654
East of England,2021-01-29,0.994466237252785,0.996004561143127,0.997293321289389,0.945486765952995,0.987354795314208,0.999138541119865,0.999813980956998
East of England,2021-01-30,0.994960408940579,0.996381913292483,0.997560569278439,0.944713827397413,0.98757774228373,0.999150057945442,0.999831548529005
East of England,2021-01-31,0.995410663766518,0.996723896137733,0.997804207751142,0.946018269262991,0.988033538813543,0.999183582433742,0.999847455669643
North East and Yorkshire,2020-09-01,0.011177792754494,0.0133247807604912,0.0152581132663589,0.00509920466433404,0.015645109305654,0.0350214705490784,0.000927058871822243
North East and Yorkshire,2020-09-02,0.0111792143754132,0.0133259138053942,0.01525926800359,0.00515886436888902,0.0156961630331189,0.0352345435080358,0.00101856305545367
North East and Yorkshire,2020-09-03,0.0111807740303236,0.0133271595669798,0.0152605372510547,0.00502329375925899,0.0156123291162243,0.035238189613174,0.00111909153966371
North East and Yorkshire,2020-09-04,0.0111824851213006,0.0133287013364588,0.0152618308225925,0.00519708956982083,0.0157443278562493,0.0352389581184712,0.0012295324420187
North East and Yorkshire,2020-09-05,0.0111843623515594,0.0133305479065,0.0152631313700247,0.00520509847816797,0.0156117687392919,0.0353627784147689,0.00135086086418949
North East and Yorkshire,2020-09-06,0.0111864218517557,0.0133325742182379,0.0152645632403655,0.00521591442958694,0.0158537271489842,0.0351775509523374,0.00148414732162462
North East and Yorkshire,2020-09-07,0.0111886813185413,0.0133347977665887,0.0152661396936528,0.00522941843849312,0.0155326785795644,0.0347640661764636,0.00163056697126555
North East and Yorkshire,2020-09-08,0.0111911601665646,0.0133372059535437,0.0152678753287467,0.00524179273090727,0.0158758789955608,0.0353083906729152,0.00179140970889448
North East and Yorkshire,2020-09-09,0.0111938796952171,0.013339873731834,0.0152697840984335,0.00520130479128999,0.0154626223180788,0.0349719866995295,0.00196809121328734
North East and Yorkshire,2020-09-10,0.011196863271559,0.0133429637657857,0.0152720064642779,0.00521064592346647,0.0156181188804481,0.0349188239355465,0.00216216502017629
North East and Yorkshire,2020-09-11,0.0112001365309871,0.0133465256233006,0.0152745329641529,0.00519554217075082,0.0157095787029146,0.0349599221407419,0.00237533571507225
North East and Yorkshire,2020-09-12,0.0112037275973699,0.0133504321526721,0.0152773125056168,0.00518649237291952,0.0155072451725508,0.0348915825510514,0.00260947334020857
North East and Yorkshire,2020-09-13,0.0112076673245305,0.0133547167037775,0.0152803704304721,0.00513346414219011,0.0155416427580446,0.0351781825134968,0.00286662911717346
North East and Yorkshire,2020-09-14,0.0112119895611499,0.0133586941864075,0.0152838059112361,0.00515191597037792,0.0157503477187767,0.0350007643088492,0.00314905259310877
North East and Yorkshire,2020-09-15,0.0112167314413554,0.0133628429880369,0.0152876051416793,0.00515503225587156,0.0156274295880315,0.0351631201041082,0.00345921032454806
North East and Yorkshire,2020-09-16,0.0112219337034826,0.0133674037315997,0.0152917821053663,0.00492647254144724,0.0157964059896132,0.0350759162222017,0.00379980621889302
North East and Yorkshire,2020-09-17,0.0112276410397375,0.0133730061279988,0.0152963743542052,0.0052442193051662,0.0156181741516478,0.0349834933018179,0.00417380365899044
North East and Yorkshire,2020-09-18,0.0112339024797487,0.0133785479211103,0.015301423172511,0.00526591893260636,0.0156266592237567,0.0350082699276201,0.00458444954102856
North East and Yorkshire,2020-09-19,0.0112398724669609,0.0133842899401235,0.0153069739478205,0.00534078992164933,0.0156589308745339,0.0350530501703405,0.00503530035971837
North East and Yorkshire,2020-09-20,0.0112462547558157,0.013390566770265,0.0153134550480121,0.00500000987666297,0.0156142082134879,0.0348520703120084,0.00553025047709104
North East and Yorkshire,2020-09-21,0.0112557689147616,0.0133974659035299,0.0153208275612453,0.00526872955234279,0.0155872216039663,0.0340387390125174,0.00607356271177006
North East and Yorkshire,2020-09-22,0.0112654728519239,0.0134050490268118,0.0153289241664088,0.00516750873321975,0.0156819611586015,0.0352001305922822,0.00666990138371456
North East and Yorkshire,2020-09-23,0.0112753645924984,0.0134143512533246,0.0153378159665242,0.00509707073041415,0.0155900071684372,0.0355069823753605,0.00732436794451136
North East and Yorkshire,2020-09-24,0.0112862172241975,0.0134253946399241,0.0153475810438266,0.00541506502120853,0.015745181152349,0.0352367190690426,0.00804253931452045
North East and Yorkshire,2020-09-25,0.0112981240665094,0.0134371832462512,0.0153577404987849,0.00525112226115321,0.0157498883024057,0.0347937820320523,0.00883050903460128
North East and Yorkshire,2020-09-26,0.0113109413452357,0.0134481571035213,0.015368224592693,0.00541318323594425,0.0158140373194201,0.0351184462294458,0.00969493132064586
