group,date,sgtf,voc,sgtfv
East of England,2021-01-27,,,1
East of England,2021-01-28,,,1
East of England,2021-01-29,,,1
East of England,2021-01-30,,,1
East of England,2021-01-31,,,1
East of England,2021-02-01,,,1
East of England,2021-02-02,,,1
East of England,2021-02-03,,,1
East of England,2021-02-04,,,1
East of England,2021-02-05,,,1
East of England,2021-02-06,,,1
East of England,2021-02-07,,,1
East of England,2021-02-08,,,1
East of England,2021-02-09,,,1
East of England,2021-02-10,,,1
East of England,2021-02-11,,,1
East of England,2021-02-12,,,1
East of England,2021-02-13,,,1
East of England,2021-02-14,,,1
East of England,2021-02-15,,,1
East of England,2021-02-16,,,1
East of England,2021-02-17,,,1
East of England,2021-02-18,,,1
East of England,2021-02-19,,,1
East of England,2021-02-20,,,1
East of England,2021-02-21,,,1
East of England,2021-02-22,,,1
East of England,2021-02-23,,,1
East of England,2021-02-24,,,1
East of England,2021-02-25,,,1
East of England,2021-02-26,,,1
East of England,2021-02-27,,,1
East of England,2021-02-28,,,1
London,2020-09-01,4,0,0
London,2020-09-02,6,0,0
London,2020-09-03,5,0,0
London,2020-09-04,1,0,0
London,2020-09-05,1,0,0
London,2020-09-06,0,0,0
London,2020-09-07,3,0,0
London,2020-09-08,2,0,0
London,2020-09-09,1,0,0
London,2020-09-10,5,0,0
London,2020-09-11,0,0,0
London,2020-09-12,0,0,0
London,2020-09-13,0,0,0
London,2020-09-14,12,0,0
London,2020-09-15,1,0,0
London,2020-09-16,1,0,0
London,2020-09-17,7,0,0
London,2020-09-18,2,0,0
London,2020-09-19,3,0,0
London,2020-09-20,5,0,0
London,2020-09-21,4,1,0.25
London,2020-09-22,2,0,0
London,2020-09-23,4,0,0
London,2020-09-24,3,0,0
London,2020-09-25,4,0,0
London,2020-09-26,1,0,0
London,2020-09-27,1,0,0
London,2020-09-28,0,0,0
London,2020-09-29,2,0,0
London,2020-09-30,5,0,0
London,2020-10-01,7,1,0.142857142857143
London,2020-10-02,1,0,0
London,2020-10-03,0,0,0
London,2020-10-04,1,0,0
London,2020-10-05,2,0,0
London,2020-10-06,6,0,0
London,2020-10-07,3,0,0
London,2020-10-08,2,1,0.5
London,2020-10-09,5,0,0
London,2020-10-10,1,0,0
London,2020-10-11,6,0,0
London,2020-10-12,1,0,0
London,2020-10-13,12,0,0
London,2020-10-14,3,0,0
London,2020-10-15,16,0,0
London,2020-10-16,0,0,0
London,2020-10-17,0,0,0
London,2020-10-18,0,0,0
London,2020-10-19,0,0,0
London,2020-10-20,4,0,0
London,2020-10-21,34,0,0
London,2020-10-22,11,1,0.0909090909090909
London,2020-10-23,3,0,0
London,2020-10-24,10,1,0.1
London,2020-10-25,3,1,0.333333333333333
London,2020-10-26,2,0,0
London,2020-10-27,2,0,0
London,2020-10-28,0,0,0.166666666666667
London,2020-10-29,12,4,0.333333333333333
London,2020-10-30,9,3,0.333333333333333
London,2020-10-31,2,2,1
